player_name,country,debut_year,last_year,seasons_played,teams,career_runs,career_balls_faced,career_batting_innings,career_hundreds,career_fifties,career_highest_score,career_fours,career_sixes,career_batting_sr,career_wickets,career_bowling_innings,career_bowling_economy,career_bowling_sr
Virat Kohli,,2008,2025,18,Royal Challengers Bengaluru,8661,6519,259,8,63,113,771,291,132.9,4,26,8.8,62.8
Rohit Sharma,,2008,2025,18,"Mumbai Indians, Sunrisers Hyderabad",7046,5334,266,2,47,109,640,302,132.1,15,32,8.02,22.6
Shikhar Dhawan,,2008,2024,17,"Delhi Capitals, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad",6769,5324,221,2,51,106,768,152,127.1,4,6,8.25,12.0
David Warner,,2009,2024,15,"Delhi Capitals, Sunrisers Hyderabad",6565,4697,184,4,62,126,663,236,139.8,0,1,12.0,
Suresh Raina,,2008,2021,13,"Chennai Super Kings, Gujarat Titans",5528,4043,200,1,39,100,506,203,136.7,25,69,7.39,36.3
M S Dhoni,,2008,2025,18,"Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants",5439,3957,241,0,24,84,375,264,137.5,0,0,,
K L Rahul,,2013,2025,12,"Delhi Capitals, Lucknow Super Giants, Punjab Kings, Royal Challengers Bengaluru, Sunrisers Hyderabad",5222,3839,135,5,40,132,452,208,136.0,0,0,,
AB de Villiers,,2008,2021,14,"Delhi Capitals, Royal Challengers Bengaluru",5162,3403,170,3,40,133,413,251,151.7,0,0,,
Ajinkya Rahane,,2008,2025,17,"Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants",5032,4025,183,2,33,105,514,123,125.0,1,1,5.0,6.0
Chris Gayle,,2009,2021,13,"Kolkata Knight Riders, Punjab Kings, Royal Challengers Bengaluru",4965,3333,141,6,31,175,404,357,149.0,18,38,7.9,30.8
RV Uthappa,,2008,2022,15,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bengaluru",4952,3799,197,0,27,88,481,182,130.4,0,0,,
Dinesh Karthik,,2008,2024,17,"Delhi Capitals, Gujarat Titans, Kolkata Knight Riders, Mumbai Indians, Punjab Kings, Royal Challengers Bengaluru",4842,3577,233,0,22,97,466,161,135.4,0,0,,
Faf du Plessis,,2012,2025,13,"Chennai Super Kings, Delhi Capitals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bengaluru",4773,3515,147,0,39,96,439,174,135.8,0,1,16.0,
Sanju Samson,,2013,2025,13,"Delhi Capitals, Rajasthan Royals",4704,3383,171,3,26,119,379,219,139.0,0,0,,
A T Rayudu,,2010,2023,14,"Chennai Super Kings, Mumbai Indians",4348,3409,185,1,22,100,359,173,127.5,0,0,,
SA Yadav,,2012,2025,13,"Kolkata Knight Riders, Mumbai Indians",4311,2900,151,2,29,103,454,168,148.7,0,1,8.0,
Gautam Gambhir,,2008,2018,11,"Delhi Capitals, Kolkata Knight Riders",4217,3404,151,0,36,93,492,59,123.9,0,0,,
Jos Buttler,,2016,2025,10,"Gujarat Titans, Mumbai Indians, Rajasthan Royals",4120,2758,119,7,24,124,407,185,149.4,0,0,,
Manish Pandey,,2008,2025,18,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad",3942,3244,160,1,22,114,340,115,121.5,0,0,,
Shane Watson,,2008,2020,12,"Chennai Super Kings, Rajasthan Royals, Royal Challengers Bengaluru",3874,2809,141,4,21,117,376,190,137.9,92,105,7.93,22.1
Shubman Gill,,2018,2025,8,"Gujarat Titans, Kolkata Knight Riders",3866,2787,114,4,26,129,372,119,138.7,0,0,,
Shreyas Iyer,,2015,2025,10,"Delhi Capitals, Kolkata Knight Riders, Punjab Kings",3731,2798,131,0,27,97,314,152,133.3,0,1,7.0,
Rishabh Pant,,2016,2025,9,"Delhi Capitals, Lucknow Super Giants",3553,2407,123,2,19,128,319,170,147.6,0,0,,
KA Pollard,,2010,2022,13,Mumbai Indians,3412,2316,168,0,16,87,218,223,147.3,69,107,8.79,21.6
Quinton de Kock,,2013,2025,12,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru, Sunrisers Hyderabad",3309,2469,115,2,24,140,325,134,134.0,0,0,,
Ravindra Jadeja,,2008,2025,17,"Chennai Super Kings, Gujarat Titans, Kochi Tuskers Kerala, Rajasthan Royals",3260,2502,194,0,5,77,240,117,130.3,170,225,7.67,23.9
