match_id,date,season,venue,city,batting_team,bowling_team,toss_winner,toss_decision,match_won_by,team1,team2,h2h_win_pct_team1,team1_recent_form,team2_recent_form,venue_batting_first_win_pct,toss_winner_is_team1,team1_overall_win_pct,team2_overall_win_pct,team1_elo,team2_elo,team1_home_advantage,team2_home_advantage,team1_won
335982,2008-04-18,2008,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru,0.5,0.5,0.5,0.5,0,0.5,0.5,1500.0,1500.0,0,1,1
335983,2008-04-19,2008,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,Punjab Kings,0.5,0.5,0.5,0.5,1,0.5,0.5,1500.0,1500.0,0,1,1
335984,2008-04-19,2008,"Arun Jaitley Stadium, Delhi",Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,Rajasthan Royals,Delhi Capitals,0.5,0.5,0.5,0.5,1,0.5,0.5,1500.0,1500.0,0,1,0
335985,2008-04-20,2008,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,0.5,0.5,0.0,0.5,1,0.5,0.5,1500.0,1484.0,1,0,0
335986,2008-04-20,2008,"Eden Gardens, Kolkata",Kolkata,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0.5,0.5,1.0,0.5,1,0.5,0.5,1500.0,1516.0,0,1,0
335987,2008-04-21,2008,"Sawai Mansingh Stadium, Jaipur",Jaipur,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,Punjab Kings,Rajasthan Royals,0.5,0.0,0.0,0.5,1,0.5,0.5,1484.0,1484.0,0,1,0
335988,2008-04-22,2008,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,Deccan Chargers,Delhi Capitals,0.5,0.0,1.0,0.5,1,0.5,0.5,1484.736306793522,1516.0,1,0,0
335989,2008-04-23,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,0.5,1.0,0.0,0.5,0,0.5,0.5,1516.0,1483.263693206478,1,0,1
335990,2008-04-24,2008,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,0.5,0.0,0.5,0.5,0,0.5,0.5,1470.1721796717984,1500.0,1,0,0
335991,2008-04-25,2008,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,Punjab Kings,Mumbai Indians,0.5,0.0,0.0,0.5,0,0.5,0.5,1468.0,1468.766810297684,1,0,1
335992,2008-04-26,2008,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,0.5,0.5,0.6666666666666666,0.5,0,0.5,0.5,1500.736306793522,1514.6297429318936,1,0,0
335993,2008-04-26,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.5,1.0,1.0,0.5,1,0.5,0.5,1531.263693206478,1530.4968829087939,0,1,0
335994,2008-04-27,2008,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Mumbai Indians,Deccan Chargers,0.5,0.0,0.0,0.5,0,0.5,0.5,1452.7314974358096,1455.5424367399048,1,0,0
335995,2008-04-27,2008,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,Delhi Capitals,Punjab Kings,0.5,1.0,0.3333333333333333,0.5,1,0.5,0.5,1530.5641271217237,1484.0353128618744,0,1,0
335996,2008-04-28,2008,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,0.5,1.0,0.3333333333333333,0.5,1,0.5,0.5,1546.5321957706683,1485.375782350751,0,1,1
335997,2008-04-29,2008,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0.5,0.6666666666666666,0.0,0.5,1,0.5,0.5,1515.2283803446035,1436.8609431502357,1,0,0
335998,2008-04-30,2008,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,0.5,0.6666666666666666,0.25,0.5,0,0.5,0.5,1512.4341145891694,1472.163408100876,1,0,1
335999,2008-05-01,2008,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Deccan Chargers,Punjab Kings,Punjab Kings,field,Punjab Kings,Deccan Chargers,Punjab Kings,0.5,0.25,0.5,0.5,0,0.5,0.5,1471.4129910254787,1502.1653253944287,1,0,0
336000,2008-05-01,2008,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,0.5,0.75,0.5,0.5,1,0.5,0.5,1529.9902673746647,1495.6794104781666,1,0,1
336001,2008-05-02,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0.5,1.0,0.75,0.5,1,0.5,0.5,1559.7445700205433,1526.58784070638,1,0,0
336003,2008-05-03,2008,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,Punjab Kings,Kolkata Knight Riders,0.5,0.6,0.4,0.5,1,0.6,0.4,1516.7528148751478,1481.2543672510556,1,0,1
336034,2008-05-03,2008,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,0.5,0.2,0.2,0.5,0,0.2,0.2,1458.0096819836656,1456.8255015447596,1,0,1
336004,2008-05-04,2008,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Mumbai Indians,Delhi Capitals,0.5,0.2,0.8,0.5,0,0.2,0.8,1456.4099130166726,1544.1101459049664,1,0,1
336005,2008-05-04,2008,"Sawai Mansingh Stadium, Jaipur",Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.5,0.8,0.8,0.5,1,0.8,0.8,1542.2222648219567,1544.4153106017757,0,1,0
336006,2008-05-05,2008,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,0.5,0.4,0.8,0.5,0,0.3333333333333333,0.6666666666666666,1473.9551486703124,1531.1237158753893,1,0,0
336007,2008-05-06,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Chennai Super Kings,Deccan Chargers,0.5,0.6,0.2,0.5,0,0.6666666666666666,0.16666666666666666,1526.323256971117,1440.8800348581128,1,0,0
