full_name,unique_name,full_name_lower
Virat Kohli,V Kohli,virat kohli
Rohit Sharma,RG Sharma,rohit sharma
Shikhar Dhawan,S Dhawan,shikhar dhawan
David Warner,DA Warner,david warner
Suresh Raina,SK Raina,suresh raina
M S Dhoni,MS Dhoni,m s dhoni
K L Rahul,KL Rahul,k l rahul
AB de Villiers,AB de Villiers,ab de villiers
Ajinkya Rahane,AM Rahane,ajinkya rahane
RV Uthappa,RV Uthappa,rv uthappa
Dinesh Karthik,KD Karthik,dinesh karthik
Faf du Plessis,F du Plessis,faf du plessis
Sanju Samson,SV Samson,sanju samson
A T Rayudu,AT Rayudu,a t rayudu
SA Yadav,SA Yadav,sa yadav
Gautam Gambhir,G Gambhir,gautam gambhir
Jos Buttler,JC Buttler,jos buttler
Manish Pandey,MK Pandey,manish pandey
Shane Watson,SR Watson,shane watson
Shubman Gill,Shubman Gill,shubman gill
Shreyas Iyer,SS Iyer,shreyas iyer
Rishabh Pant,RR Pant,rishabh pant
KA Pollard,KA Pollard,ka pollard
Quinton de Kock,Q de Kock,quinton de kock
Ravindra Jadeja,RA Jadeja,ravindra jadeja
David Miller,DA Miller,david miller
Ishan Kishan,Ishan Kishan,ishan kishan
Wriddhiman Saha,WP Saha,wriddhiman saha
Brendon McCullum,BB McCullum,brendon mccullum
Nitish Rana,N Rana,nitish rana
Parthiv Patel,PA Patel,parthiv patel
Glenn Maxwell,GJ Maxwell,glenn maxwell
Mayank Agarwal,MA Agarwal,mayank agarwal
Yuvraj Singh,Yuvraj Singh,yuvraj singh
Hardik Pandya,HH Pandya,hardik pandya
Virender Sehwag,V Sehwag,virender sehwag
Andre Russell,AD Russell,andre russell
Murali Vijay,M Vijay,murali vijay
R D Gaikwad,RD Gaikwad,r d gaikwad
Steven Smith,SPD Smith,steven smith
Shaun Marsh,SE Marsh,shaun marsh
Jacques Kallis,JH Kallis,jacques kallis
Dwayne Smith,DR Smith,dwayne smith
Sachin Tendulkar,SR Tendulkar,sachin tendulkar
Nicholas Pooran,N Pooran,nicholas pooran
R A Tripathi,RA Tripathi,r a tripathi
Rahul Dravid,R Dravid,rahul dravid
Yashasvi Bhupendra Jaiswal,YBK Jaiswal,yashasvi bhupendra jaiswal
Kane Williamson,KS Williamson,kane williamson
Aaron Finch,AJ Finch,aaron finch
Adam Gilchrist,AC Gilchrist,adam gilchrist
Jean-Paul Duminy,JP Duminy,jean-paul duminy
Marcus Stoinis,MP Stoinis,marcus stoinis
Michael Hussey,MEK Hussey,michael hussey
Axar Patel,AR Patel,axar patel
Prithvi Shaw,PP Shaw,prithvi shaw
Shivam Dube,S Dube,shivam dube
Abhishek Sharma,Abhishek Sharma,abhishek sharma
Devdutt Padikkal,D Padikkal,devdutt padikkal
Mahela Jayawardene,DPMD Jayawardene,mahela jayawardene
B Sai Sudharsan,B Sai Sudharsan,b sai sudharsan
Sunil Narine,SP Narine,sunil narine
K H Pandya,KH Pandya,k h pandya
Mandeep Singh,Mandeep Singh,mandeep singh
Karun Nair,KK Nair,karun nair
Jonny Bairstow,JM Bairstow,jonny bairstow
Riyan Parag,R Parag,riyan parag
Dwayne Bravo,DJ Bravo,dwayne bravo
Naman Ojha,NV Ojha,naman ojha
Tilak Varma,Tilak Varma,tilak varma
Deepak Jagbir Hooda,DJ Hooda,deepak jagbir hooda
Saurabh Tiwary,SS Tiwary,saurabh tiwary
